run_id,company,listed_entity,consolidation_scope,period,frequency,metric_id,metric_name,metric_group,business_module,value,unit,currency,scale,value_type,scenario,source_id,confidence,estimate_method,low_value,base_value,high_value,note
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,ENT_TOTAL_SHARES,期末总股本,Entity & Equity,Entity,80932368321,shares,,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,2021年A股发行后股本增加
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_REV_TOTAL,营业收入,Income Statement,Group,393561,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_REV_SERVICE,服务收入,Income Statement,Group,373798,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_EBITDA,EBITDA,Income Statement,Group,118880,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,公司口径
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_DA,折旧及摊销,Income Statement,Group,90240,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_NETWORK_OPEX,网络运营及支撑成本,Income Statement,Group,119517,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_SGA,销售、一般及管理费用,Income Statement,Group,55059,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,COST_SELLING,销售费用,Costs & Efficiency,Group,45447,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,官方可得的渠道成本代理；不等同于纯渠道费
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_PERSONNEL,人工成本,Income Statement,Group,65989,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_OTHER_OPEX,其他经营费用,Income Statement,Group,29074,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_OPEX_TOTAL,经营费用合计,Income Statement,Group,364921,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_EBIT,经营利润,Income Statement,Group,28640,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,营业收入-经营费用
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_NET_FINANCE,财务费用净额,Income Statement,Group,3014,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,正数表示净费用
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_PBT,税前利润,Income Statement,Group,27387,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_TAX,所得税,Income Statement,Group,6307,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_PROFIT_YEAR,本年利润,Income Statement,Group,21080,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_NP_ATTR,归母净利润,Income Statement,Group,20850,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,IFRS
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_REV_NONSERVICE,非服务收入,Income Statement,Group,19763,RMB mn,RMB,1,Derived,Actual,SRC_CT_2021_RESULTS,High,营业收入-服务收入,,,,营业收入-服务收入
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_EBITDA_MARGIN,EBITDA率,Income Statement,Group,0.3180327342575402,%,,1,Derived,Actual,SRC_CT_2021_RESULTS,High,EBITDA/服务收入,,,,EBITDA/服务收入
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_INVESTMENT_INCOME,投资收益及联营合营贡献,Income Statement,Group,1761,RMB mn,RMB,1,Derived,Actual,SRC_CT_2021_RESULTS,High,税前利润-经营利润+净财务费用,,,,由税前利润与经营利润桥接
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_TAX_RATE,实际税率,Income Statement,Group,0.2302917442582247,%,,1,Derived,Actual,SRC_CT_2021_RESULTS,High,所得税/税前利润,,,,所得税/税前利润
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_NP_NCI,少数股东损益,Income Statement,Group,230,RMB mn,RMB,1,Derived,Actual,SRC_CT_2021_RESULTS,High,本年利润-归母净利润,,,,本年利润-归母净利润
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_EPS_BASIC,基本每股收益,Income Statement,Group,0.2576225116421056,RMB/share,RMB,1,Derived,Actual,SRC_CT_2021_RESULTS,High,归母净利润/期末股本（简化）,,,,归母净利润/加权股本，模型使用简化期末股本
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_ROE,ROE,Income Statement,Group,0.05736595351294242,%,,1,Derived,Actual,SRC_CT_2021_RESULTS,High,归母净利润/平均归母权益,,,,归母净利润/平均归母权益
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_ROA,ROA,Income Statement,Group,0.029156924384977682,%,,1,Derived,Actual,SRC_CT_2021_RESULTS,High,归母净利润/平均总资产,,,,归母净利润/平均总资产
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,FIN_NET_MARGIN,归母净利率,Income Statement,Group,0.05297781030132559,%,,1,Derived,Actual,SRC_CT_2021_RESULTS,High,归母净利润/营业收入,,,,归母净利润/营业收入
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_CURRENT_ASSETS,流动资产,Balance Sheet,Group,84016,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_NONCURRENT_ASSETS,非流动资产,Balance Sheet,Group,631080,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_TOTAL_ASSETS,总资产,Balance Sheet,Group,715096,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_CURRENT_LIAB,流动负债,Balance Sheet,Group,271142,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_NONCURRENT_LIAB,非流动负债,Balance Sheet,Group,77779,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_TOTAL_LIAB,总负债,Balance Sheet,Group,348921,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_EQUITY_ATTR,归母权益,Balance Sheet,Group,363456,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,ENT_NCI,少数股东权益,Balance Sheet,Group,2719,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_EQUITY_TOTAL,权益合计,Balance Sheet,Group,366175,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_CASH,现金及现金等价物,Balance Sheet,Group,23684,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_SHORT_DEPOSITS_RESTRICTED,短期存款及受限资金,Balance Sheet,Group,9408,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_SHORT_DEBT,短期债务,Balance Sheet,Group,27994,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_CURRENT_LONG_DEBT,一年内到期长期债务,Balance Sheet,Group,1126,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_LONG_DEBT,长期债务,Balance Sheet,Group,24222,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_LEASE_LIAB_CURRENT,流动租赁负债,Balance Sheet,Group,13192,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_LEASE_LIAB_NONCURRENT,非流动租赁负债,Balance Sheet,Group,27455,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_AR_GROSS,应收账款原值,Balance Sheet,Group,25936,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,含非客户应收
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_AR_ALLOWANCE,应收账款信用损失准备,Balance Sheet,Group,4434,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_AR_NET,应收账款净额,Balance Sheet,Group,21502,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_CONTRACT_ASSET_GROSS,合同资产原值,Balance Sheet,Group,613,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_CONTRACT_ASSET_ALLOWANCE,合同资产减值准备,Balance Sheet,Group,9,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
CT_20260803_P1,中国电信,中国电信股份有限公司,中国电信股份有限公司及其子公司,2020,Annual,BS_CONTRACT_ASSET_NET,合同资产净额,Balance Sheet,Group,604,RMB mn,RMB,1,Actual,Actual,SRC_CT_2021_RESULTS,High,,,,,
